1,admin,admin,Hoang Anh Minh,0394249825,hue,minh@gmail.com,ADMIN,2022-06-17T12:37:29.997379200Z,null
23,dxtteam,xuantri123,Dao Xuan Tri,0855686609,hue,hue@gamil.com,USER,2022-06-17T12:37:29.997379200Z,2022-06-18T13:11:04.531Z
11,trile123,minhtri123,Tri,02134223315,hue,tri@gmail.com,USER,2022-06-18T12:37:29.997379200Z,null
121,minhminh,hanhminh,Minh,0897456321,hue,t@gmail.com,USER,2022-06-19T12:37:29.997379200Z,null
5,hongphong,phongphong,Hồng Phong,0781233456,hue,phong@gmail.com,USER,2022-06-19T12:37:29.997379200Z,null
55,minhnhat,nhat12345,Nhật ,01243656932,Hue,nhat@gmai.com,USER,2022-06-20T12:37:29.997379200Z,null
3,milotran,milotran,Trung tran,0989876324,hue,trungtran@gmail.com,USER,2022-06-20T12:37:29.997379200Z,2022-06-18T13:24:22.122Z
543,vodailoc,vodailoc,Dai Loc,0987611122,hue,loc.tran@codegym.vn,USER,2022-06-18T12:37:29.997379200Z,null
342,baosinh1,12345678,Sinh,0987544325,Hue,sinh@gmail.vn,USER,2022-06-19T12:37:29.997379200Z,null
1655459748,minhanh1,minhanh1,Hoanganhminh,0123456789,hue,sdafdgdg@gmail.com,USER,2022-06-17T09:56:57.565Z,null
1655559851,HoangAnhMinh,12345678,Hoang Anh Minh,0123321123,hue,minhminh@gmail.com,USER,2022-06-18T13:45:30.065Z,null
